entityid,OBJECTID,NUM,TYPE,LINK1,SHORTDESC
,8,7,,\Hyperlink_Data\W1812\WarOf1812_7.pdf,Action at Butler’s Farm
,17,17,<Null>,\Hyperlink_Data\W1812\WarOf1812_17.pdf,Redan Battery
,7,6,,\Hyperlink_Data\W1812\WarOf1812_6.pdf,Butler’s Barracks
,33,33,,\Hyperlink_Data\W1812\WarOf1812_33.pdf,Burning of St. David’s
,26,26,,\Hyperlink_Data\W1812\WarOf1812_26.pdf,Engagement at the Forty
,34,34,,\Hyperlink_Data\W1812\WarOf1812_34.pdf,Battle of Cook’s Mills
,23,23,,\Hyperlink_Data\W1812\WarOf1812_23.pdf,Frenchman’s Creek
,43,44,,\Hyperlink_Data\W1812\WarOf1812_44.pdf,Sheaffe's Path to Victory October 13th 1812
,1,38,,\Hyperlink_Data\W1812\WarOf1812_38.pdf,Port Dalhousie 'Mouth of the Twelve'
,22,22,,\Hyperlink_Data\W1812\WarOf1812_22.pdf,Battle of Chippawa
,19,19,,\Hyperlink_Data\W1812\WarOf1812_19.pdf,Burning of Bridgewater Mill
,6,5,,\Hyperlink_Data\W1812\WarOf1812_5.pdf,Navy Hall
,20,20,,\Hyperlink_Data\W1812\WarOf1812_20.pdf,Fort Chippawa
,36,36,,\Hyperlink_Data\W1812\WarOf1812_36.pdf,St. Andrew’s Church
,37,37,,\Hyperlink_Data\W1812\WarOf1812_37.pdf,Battle of Beaverdams Park
,42,43,,\Hyperlink_Data\W1812\WarOf1812_43.pdf,First Nations memorial
,25,25,,\Hyperlink_Data\W1812\WarOf1812_25.pdf,Snake Hill
,39,40,,\Hyperlink_Data\W1812\WarOf1812_40.pdf,William Hamilton MERRITT Statue 
,18,18,<Null>,\Hyperlink_Data\W1812\WarOf1812_18.pdf,Battle of Lundy’s Lane
,10,9,,\Hyperlink_Data\W1812\WarOf1812_9.pdf,Brown's Point
,15,15,,\Hyperlink_Data\W1812\WarOf1812_15.pdf,Brock’s Monument
,5,4,,\Hyperlink_Data\W1812\WarOf1812_4.pdf,Fort George
,3,2,,\Hyperlink_Data\W1812\WarOf1812_2.pdf,St. Mark’s Church
,32,32,,\Hyperlink_Data\W1812\WarOf1812_32.pdf,Battle of Beaverdams
,12,11,,\Hyperlink_Data\W1812\WarOf1812_11.pdf,Laura Secord’s House
,38,39,,\Hyperlink_Data\W1812\WarOf1812_39.pdf,Capture of Somers and Ohio
,38,39,,\Hyperlink_Data\W1812\WarOf1812_39.pdf,Capture of Somers and Ohio
,40,41,,\Hyperlink_Data\W1812\WarOf1812_41.pdf,Capture of Fort Niagara
,13,12,,\Hyperlink_Data\W1812\WarOf1812_12.pdf,Fort Drummond
,9,8,,\Hyperlink_Data\W1812\WarOf1812_8.pdf,McFarland House
,4,3,,\Hyperlink_Data\W1812\WarOf1812_3.pdf,Fort Mississauga
,14,14,,\Hyperlink_Data\W1812\WarOf1812_42.pdf,Queenston Heights Battleground
,35,35,,\Hyperlink_Data\W1812\WarOf1812_35.pdf,The Field House
,41,42,,\Hyperlink_Data\W1812\WarOf1812_14.pdf,Location of the death of General Brock
,30,30,,\Hyperlink_Data\W1812\WarOf1812_30.pdf,Runchy’s Tavern
,16,16,,\Hyperlink_Data\W1812\WarOf1812_16.pdf,Monument to ‘ALFRED’  General Brock's horse
,31,31,,\Hyperlink_Data\W1812\WarOf1812_31.pdf,DeCew House
,27,27,,\Hyperlink_Data\W1812\WarOf1812_27.pdf,Nelles - Fitch House
,2,1,,\Hyperlink_Data\W1812\WarOf1812_1.pdf,Burning of Newark (now Niagara On-The-Lake)
,29,29,,\Hyperlink_Data\W1812\WarOf1812_29.pdf,Ball’s Grist Mill
,28,28,,\Hyperlink_Data\W1812\WarOf1812_28.pdf,The Stone Shop
,11,10,,\Hyperlink_Data\W1812\WarOf1812_10.pdf,Vrooman’s Battery
,21,21,,\Hyperlink_Data\W1812\WarOf1812_21.pdf,Destruction of Chippawa Village
,24,24,,\Hyperlink_Data\W1812\WarOf1812_24.pdf,Old Fort Erie
